"organization_name","site_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/03/2021","Vie","11","Mar","2021","7898","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/03/2021","Sáb","11","Mar","2021","11315","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/03/2021","Dom","12","Mar","2021","10275","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","15/03/2021","Lun","12","Mar","2021","6189","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/03/2021","Mar","12","Mar","2021","6412","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/03/2021","Mie","12","Mar","2021","6694","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/03/2021","Jue","12","Mar","2021","6577","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/03/2021","Vie","12","Mar","2021","7990","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/03/2021","Sáb","12","Mar","2021","10861","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/03/2021","Dom","13","Mar","2021","9302","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/03/2021","Lun","13","Mar","2021","5517","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/03/2021","Mar","13","Mar","2021","5871","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/03/2021","Mie","13","Mar","2021","6251","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/03/2021","Jue","13","Mar","2021","6318","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/03/2021","Vie","13","Mar","2021","7989","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/03/2021","Sáb","13","Mar","2021","11417","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/03/2021","Dom","14","Mar","2021","8891","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","29/03/2021","Lun","14","Mar","2021","6140","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","30/03/2021","Mar","14","Mar","2021","6984","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","31/03/2021","Mie","14","Mar","2021","7758","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/04/2021","Jue","14","Apr","2021","9332","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/04/2021","Vie","14","Apr","2021","2877","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/04/2021","Sáb","14","Apr","2021","9731","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/04/2021","Dom","15","Apr","2021","8764","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/04/2021","Lun","15","Apr","2021","5373","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/04/2021","Mar","15","Apr","2021","5803","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/04/2021","Mie","15","Apr","2021","5925","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/04/2021","Jue","15","Apr","2021","5960","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/04/2021","Vie","15","Apr","2021","7389","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/04/2021","Sáb","15","Apr","2021","11524","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/04/2021","Dom","16","Apr","2021","10342","NONE","Comp"
